antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
baby,"bed_bath_table, furniture_decor",0.128099173553719,0.09641873278236915,0.0013774104683195593,0.010752688172043012,0.11152073732718895,1.0,-0.010973749516198802,0.9134028027308659,-0.9013557737260403,0.00617283950617284,-0.09480723839496459,0.01251920122887865
housewares,sports_leisure,0.14049586776859505,0.09228650137741047,0.015151515151515152,0.10784313725490197,1.1685689201053555,1.0,0.002185643057168226,1.0174371083461993,0.1678321678321678,0.06962025316455696,0.017138266535749357,0.13601112086625694
sports_leisure,housewares,0.09228650137741047,0.14049586776859505,0.015151515151515152,0.16417910447761194,1.1685689201053555,1.0,0.002185643057168226,1.0283353010625738,0.15891847151331215,0.06962025316455696,0.02755453501722158,0.13601112086625694
furniture_decor,sports_leisure,0.2796143250688705,0.09228650137741047,0.004132231404958678,0.01477832512315271,0.1601352841702816,1.0,-0.02167239639065334,0.9213292011019284,-0.8792333743842363,0.011235955056179775,-0.08538837019816561,0.029777222263068892
sports_leisure,furniture_decor,0.09228650137741047,0.2796143250688705,0.004132231404958678,0.04477611940298507,0.16013528417028158,1.0,-0.02167239639065334,0.7541537534435262,-0.8524626865671642,0.011235955056179775,-0.3259895550926058,0.029777222263068892
sports_leisure,health_beauty,0.09228650137741047,0.09641873278236915,0.01928374655647383,0.208955223880597,2.1671641791044776,1.0,0.010385599040745546,1.1422631113883257,0.5933232169954475,0.11382113821138211,0.1245449581361485,0.2044776119402985
health_beauty,sports_leisure,0.09641873278236915,0.09228650137741047,0.01928374655647383,0.2,2.1671641791044776,1.0,0.010385599040745546,1.1346418732782368,0.5960365853658536,0.11382113821138211,0.11866464339908954,0.2044776119402985
sports_leisure,bed_bath_table,0.09228650137741047,0.2727272727272727,0.0013774104683195593,0.014925373134328358,0.05472636815920398,1.0,-0.023791635361883296,0.7382920110192838,-0.9500719751496326,0.0037878787878787884,-0.3544776119402985,0.009987939092416704
sports_leisure,baby,0.09228650137741047,0.128099173553719,0.0013774104683195593,0.014925373134328358,0.11651420317766009,1.0,-0.010444414088290872,0.8851114450288005,-0.8930889033095392,0.006289308176100629,-0.12980123081276082,0.012839030653185684
baby,sports_leisure,0.128099173553719,0.09228650137741047,0.0013774104683195593,0.010752688172043012,0.11651420317766009,1.0,-0.010444414088290872,0.9175799496945742,-0.896871945259042,0.006289308176100629,-0.08982329042048069,0.012839030653185684
sports_leisure,garden_tools,0.09228650137741047,0.10055096418732783,0.004132231404958678,0.04477611940298507,0.4453077080351666,1.0,-0.005147265290015102,0.9416107093663912,-0.5784648187633261,0.0218978102189781,-0.06201001119974401,0.04293600490697198
garden_tools,sports_leisure,0.10055096418732783,0.09228650137741047,0.004132231404958678,0.0410958904109589,0.4453077080351666,1.0,-0.005147265290015102,0.9466155057064147,-0.5806934931506849,0.0218978102189781,-0.05639511921342009,0.04293600490697198
sports_leisure,perfumery,0.09228650137741047,0.03581267217630854,0.004132231404958678,0.04477611940298507,1.2502870264064292,1.0,0.00082720518483103,1.0093836088154269,0.22053616590794128,0.03333333333333333,0.009296375266524517,0.08008036739380023
perfumery,sports_leisure,0.03581267217630854,0.09228650137741047,0.004132231404958678,0.11538461538461539,1.2502870264064294,1.0,0.00082720518483103,1.0261109114864055,0.2076190476190476,0.03333333333333333,0.025446480681685542,0.08008036739380023
toys,perfumery,0.06887052341597796,0.03581267217630854,0.0027548209366391185,0.04,1.116923076923077,1.0,0.00028838345893191864,1.0043617998163452,0.11242603550295853,0.02702702702702703,0.004342857142857143,0.05846153846153847
